synthetic_traffic_datas-2
"North_Flow,South_Flow,East_Flow,West_Flow,Pedestrian_Flow,Weather,Queue_Length_North,Queue_Length_South,Queue_Length_East,Queue_Length_West,Emergency_Priority_North,Emergency_Priority_South,Emergency_Priority_East,Emergency_Priority_West"
"7,92,36,73,35,0,16,14,19,13,1,1,1,0"
"131,35,6,148,32,0,4,18,13,14,0,1,1,1"
"117,128,32,10,25,0,2,2,4,10,0,1,0,0"
"78,34,54,15,25,1,3,7,5,2,0,1,0,1"
"150,114,22,72,28,2,16,18,5,0,1,1,0,1"
"117,29,4,55,48,2,18,20,18,9,0,1,1,1"
"112,146,117,102,18,0,9,15,18,5,0,0,0,0"
"16,102,23,27,33,0,17,14,6,13,1,1,0,1"
"145,63,28,68,8,1,11,6,3,14,0,1,1,0"
"101,101,138,122,5,0,10,11,11,18,1,0,1,0"
"123,91,72,63,33,0,17,8,17,5,0,1,1,0"
"39,38,25,30,25,1,14,1,0,8,1,0,1,1"
"64,78,136,97,30,2,6,16,7,0,1,0,0,0"
"67,77,91,133,16,2,19,9,16,14,1,1,1,0"
"52,93,133,56,15,0,14,13,13,8,0,1,1,1"
"42,80,135,10,32,1,16,17,10,14,0,1,0,0"
"73,92,11,134,47,2,13,13,11,0,0,0,1,1"
"109,28,93,73,24,2,0,13,1,6,0,0,1,1"
"142,60,106,24,1,2,10,3,0,3,1,1,1,1"
"28,12,32,115,39,2,16,3,15,1,1,1,1,1"
"28,37,134,92,6,2,10,11,4,4,0,1,1,1"
"49,145,26,94,42,1,17,17,13,18,1,0,1,0"
"80,127,91,138,2,0,13,4,19,14,1,1,1,1"
"66,116,28,58,42,2,4,3,10,0,0,1,0,1"
"73,3,110,39,47,0,7,17,20,14,0,1,1,0"
"94,117,26,109,16,0,13,1,7,0,1,1,1,1"
"115,49,145,27,18,0,20,2,15,11,0,1,1,1"
"12,75,57,100,9,0,20,7,8,16,1,0,0,1"
"80,121,2,20,17,1,10,11,2,5,1,1,0,0"
"136,138,92,110,10,1,7,10,9,20,1,0,0,0"
"70,146,120,56,23,0,8,3,13,16,0,0,0,0"
"99,122,53,69,23,1,3,3,4,5,0,0,0,0"
"129,40,43,132,26,2,19,5,6,17,1,0,0,0"
"102,4,44,137,39,1,6,5,19,6,0,0,0,0"
"94,64,105,67,35,1,5,20,10,11,1,0,0,0"
"44,87,89,53,49,2,4,10,9,2,0,1,1,1"
"56,46,61,15,39,0,9,0,14,5,0,1,1,1"
"116,15,98,131,22,2,3,10,20,6,0,1,1,1"
"3,18,101,5,2,1,18,8,7,14,1,1,1,1"
"141,131,98,86,23,1,4,12,18,7,1,1,1,0"
"2,45,50,98,35,1,13,3,3,16,1,0,1,1"
"26,44,43,11,1,2,11,7,10,3,1,1,0,0"
"55,133,119,21,1,1,6,16,9,8,0,1,0,0"
"84,11,68,118,33,2,10,2,20,0,1,1,0,0"
"28,83,46,24,30,0,8,8,1,3,1,0,0,1"
"89,107,145,71,45,2,9,9,3,19,1,0,1,1"
"38,135,103,14,17,1,5,17,5,16,0,1,0,1"
"110,109,142,3,34,2,17,6,8,7,1,0,1,1"
"3,70,64,12,43,1,0,11,16,14,0,1,1,0"
